URL,Lable
http://www.playbill.com/,0
http://www.talkinbroadway.com/,0
http://1501broadway.com/,0
http://www.aislesay.com/,0
http://artsavant.com/,0
http://www.australianstage.com.au/,0
http://www.backstage.com/,0
http://broadwayworld.com/,0
http://www.broadway.com/,0
http://www.broadwaystars.com/,0
http://www.broadwayworld.com/photogame.cfm,0
http://www.coloradotheatreguild.org/,0
http://coloradodrama.com/,0
http://www.concert-reviews.co.uk/,0
http://www.curtainup.com/,0
http://mamet.eserver.org/,0
http://www.steppenwolf.org/ensemble/,0
http://members.tripod.com/FootlightNotes/index.html,0
https://sites.google.com/site/lettheshowbegin/,0
http://www.londontheatre.co.uk/,0
http://www.officiallondontheatre.co.uk/,0
http://minnesotaplaylist.com/,0
http://nytheaterscene.com/,0
http://www.newyorktheatreguide.com/,0
http://www.ontheboards.com/,0
http://www.reviewplays.com/,0
http://www.readio.com/broadway/broadway1.html,0
http://www.scene4.com/,0
http://www.showbusinessweekly.com/,0
http://www.showbizradio.net/,0
http://www.stage-directions.com/,0
http://www.thestage.co.uk/,0
http://www.stagephoto.co.uk/,0
http://www.theatermania.com/,0
http://www.theaterpro.com/,0
http://www.theatreguidelondon.co.uk/,0
http://www.theatrepeople.com.au/,0
http://www.theatre-reviews.co.uk/,0
http://muse.jhu.edu/journals/theatre_topics/,0
http://www.theatrenet.co.uk/,0
http://www.topix.com/rss/arts/theater.xml,0
http://www.scenechanges.com/,0
http://torontostage.com/,0
http://www.vancouverplays.com/,0
http://home.earthlink.net/~jenniewebb/,0
http://thewickedstage.blogspot.com/,0
http://broadway.yahoo.com/,0
http://www.tau.ac.il/humanities/philos/ai/links.html,0
http://ai-depot.com/,0
http://artilect.org/,0
http://liinwww.ira.uka.de/bibliography/Ai/,0
http://www.cs.cmu.edu/afs/cs.cmu.edu/project/ai-repository/ai/0.html,0
http://www.cs.iastate.edu/~honavar/hybrid-ai.html,0
http://context.umcs.maine.edu/,0
http://www.generation5.org/,0
http://aiinfinance.com/,0
http://www.kurzweilai.net/,0
http://www.cs.cmu.edu/Groups/AI/html/faqs/top.html,0
http://www.loebner.net/Prizef/loebner-prize.html,0
http://www.neuron.co.uk/,0
http://www.pcai.com/,0
http://www.intelligentfirm.com/,0
http://sigart.acm.org/,0
http://www.eecs.umich.edu/gasm/,0
http://sigact.acm.org/,0
http://cgi.csc.liv.ac.uk/~ped/teachadmin/algor/algor.html,0
http://editor.altervista.org/,0
http://www.cs.pitt.edu/~kirk/algorithmcourses/,0
http://www.cs.cmu.edu/~guyb/realworld.html,0
http://algo.inria.fr/AofA/,0
http://www.eli.sdsu.edu/courses/fall95/cs660/,0
http://www.eli.sdsu.edu/courses/fall95/cs660/notes/,0
http://www.algosort.com/,0
http://www3.cs.stonybrook.edu/~skiena/214/lectures/,0
http://www.personal.kent.edu/~rmuhamma/Algorithms/algorithm.html,0
http://www.nist.gov/dads/,0
http://www.hlcmklam.com/,0
http://www.oopweb.com/Algorithms/Files/Algorithms.html,0
http://www.cs.ucr.edu/~stelo/pattern.html,0
http://www.leekillough.com/heaps/,0
http://algo.inria.fr/AofA/Problems/,0
http://math.sun.ac.za/~prodinger/,0
http://www.softpanorama.org/Algorithms/,0
http://www3.cs.stonybrook.edu/~algorith/,0
